Date;Prestation;Code Barre;Contrat;Pays Expediteur;Destinataire;CP Destinataire;Ville Destinataire;Pays Destinataire;Reference;Nombre de colis;Poids;Prix;Supplement;Lot;Facture;Compte facturé;Libellé TVA;CB Initial;Reference 2;Reference 3
; SURCHARGE CARBURANT NAT. ;;;;;;;;;;;     996.41;;;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DE LAURE                 ;13180;GIGNAC LA NERTHE                   ;FR                                 ;                    ;1;      0.120;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DES IZARDS               ;24660;COULOUNIEIX CHAMIERS               ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;GRANDE PHARMACIE DES 3 GRACES      ;42300;ROANNE                             ;FR                                 ;                    ;1;      0.140;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DES ATELIERS             ;13200;ARLES                              ;FR                                 ;                    ;1;      0.200;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;LA PHARMACIE DE LA ROCHE           ;5400;LA ROCHE DES ARNAUDS               ;FR                                 ;                    ;1;      0.820;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DAMELINCOURT             ;9500;MIREPOIX                           ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DES CANELLES             ;31560;CALMONT                            ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DE CESTATS               ;33610;CESTAS                             ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE PRINCIPALE               ;13120;GARDANNE                           ;FR                                 ;                    ;1;      0.300;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DE CHANTRAINE            ;88000;CHANTRAINE                         ;FR                                 ;                    ;1;      0.850;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DE LA BASTIDE            ;87100;LIMOGES                            ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DE DRAVEMONT             ;33270;FLOIRAC                            ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DES ALOUETTES            ;15000;AURILLAC                           ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;SELARL PHARMACIE DE LA POSTE       ;67800;HOENHEIM                           ;FR                                 ;                    ;1;      0.550;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE PRINCIPALE DE BEZONS     ;95870;BEZONS                             ;FR                                 ;                    ;1;      0.940;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DU PARVIS                ;60100;CREIL                              ;FR                                 ;                    ;1;      0.860;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DE LA MONTAGNETTE        ;13150;TARASCON                           ;FR                                 ;                    ;1;      0.720;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE BRETON                   ;75012;PARIS                              ;FR                                 ;                    ;1;      0.180;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DES GOUJONS              ;94140;ALFORTVILLE                        ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE  DE LA PASSERELLE        ;94190;VILLENEUVE ST GEORGES              ;FR                                 ;                    ;1;      0.360;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE ST GERMAIN               ;94120;FONTENAY SOUS BOIS                 ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DU QUARTIER VERON        ;94140;ALFORTVILLE                        ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
04/05/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE BEAUFILS HULAK           ;22370;PLENEUF VAL ANDR‚                  ;FR                                 ;                    ;1;      0.220;       3.80;CSU                ;  ;20/05/01052;3752;TVA 20.0%;;;
