Date;Prestation;Code Barre;Contrat;Compte Expediteur;Pays Expediteur;Destinataire;CP Destinataire;Ville Destinataire;Pays Destinataire;Reference;Nombre de colis;Poids;Prix;Supplement;Lot;Facture;Compte facturé;Libellé TVA;CB Initial;Reference 2;Reference 3
; SURCHARGE CARBURANT NAT. ;;;;;;;;;;;;    1014.70;;;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE FRANCART                 ;2000;LAON                               ;FR                                 ;                    ;1;      0.440;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE ISABELLE LABICHE         ;27400;HONDOUVILLE                        ;FR                                 ;                    ;1;      1.020;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE RENAULT                  ;94290;VILLENEUVE LE ROI                  ;FR                                 ;                    ;1;      0.580;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DU TREMBLAY              ;94500;CHAMPIGNY SUR MARNE                ;FR                                 ;                    ;1;      0.340;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;CHEVALIER MEDICAL CONSEIL          ;76490;CAUDEBEC EN CAUX                   ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE L EUROPE              ;8600;GIVET                              ;FR                                 ;                    ;1;      0.680;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE BERJALLIENNE             ;38300;BOURGOIN JALLIEU                   ;FR                                 ;                    ;1;      3.740;       4.10;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE LORRAINE                 ;57200;SARREGUEMINES                      ;FR                                 ;                    ;1;      0.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DES LYCEES               ;19100;BRIVE LA GAILLARDE                 ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DAVY ET ARNAL            ;34120;PEZENAS                            ;FR                                 ;                    ;1;      1.540;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
